username,is_verified,is_private,is_business_account
anitakellywrites,False,False,False
mural_masmilk,False,False,True
brianbrose,False,False,True
marvinparkenfarker,False,True,False
michaelgstreet,False,False,False
levni,False,False,False
kissatenumamimart,False,False,False
joe_bamba,False,True,False
clintonjameschambers,False,False,False
ejf31590,False,True,False
cofincaf,False,False,True
firstcof,False,False,False
kwangsuporn,False,False,False
goo_goo_goo_san,False,True,False
pdxandria,False,True,False
_7even_,False,True,False
aleksexy,False,True,False
maxoden,False,False,False
louierealest,False,False,True
jimboranger,False,False,False
cabistylebyanita,False,False,True
ariel.grunwald,False,False,False
cvgdvfvv521,False,False,False
zzgoyufaxv,False,True,False
joshborgen83,False,False,False
michellebaumann83,False,False,False
jeffsevaldson,False,True,False
slanderson89,False,True,False
earlyhumanbooks,False,False,True
camdenbenesh1,False,False,True
brooktiii,False,True,False
bois_nberries,False,False,False
jfosh429,False,False,False
greenlightdevelopment,False,False,False
katykohlm,False,True,False
klsgamino,False,True,False
josh.tupas,False,False,False
luizgonzaga860,False,True,False
bondantiques,False,False,False
evan_klinkhammer,False,False,False
lexrriedinger,False,False,False
thatsaigonese,False,False,False
thelazysundaysociety,False,False,True
elijahm_8,False,False,False
absalontavera,False,True,False
tibs.of.mandalore,False,True,False
kona.wildgrown,False,False,False
urban.steveirwin,False,False,False
sobersavedad,False,False,False
ryulperman,False,False,False
filtercoffee_and_cakes,False,False,False
kopikohlie,False,False,True
jmhameli,False,False,False
helloerica,False,False,True
nevermindshelby,False,False,False
bekindcoffeecrew,False,False,True
kurbsidecoffee,False,False,True
la.t.latte,False,False,False
alasandco,False,False,True
beenzlife,False,False,True
anaettomi,False,False,False
georgehlim,False,True,False
blackweaverpdx,False,False,False
vaner_pinheiro,False,False,False
lychee_summer,False,True,False
chaitanya_m_416,False,False,True
tastecoffeedurango,False,False,True
jarombradshaw,False,False,False
michaeldambros,False,False,False
mr.dhamo_offlcials,False,False,False
rstora3,False,False,False
akaenchantingpetrichor,False,False,False
jansealimentos,False,False,True
camerona.carson,False,False,False
coffeenola,False,False,False
sabrinasbrew,False,False,True
not_that_amori,False,False,False
brewwithru,False,False,False
timmysdrinks,False,False,False
larrybarry5816,False,True,False
cafesandranyc,False,False,True
loficoffeeclub,False,False,True
jaybeeforitwo,False,True,False
drwkng,False,False,False
speedocappuccino,False,False,True
bnt.pdx,False,True,False
girrl,False,True,False
chrslikescoffee,False,False,False
reicat_coffee_,False,False,True
risa0819leo,False,True,False
youngsavagethings,False,False,False
mynameisdmoon,False,False,False
emthomsen_,False,True,False
sakiko.1209,False,False,False
westwardwhiskey,False,False,True
finale.majun,False,False,False
jusacuptx,False,False,True
tomoep,False,False,False
nathan_a_jones,False,False,False
ying_yayas,False,True,False
_stephrlo,False,True,False
nikkimariemccarthy,False,True,False
weston_heights,False,False,False
murphy8052,False,False,False
lomacoffee_brooklyn,False,False,True
heatherloveshairpdx,False,False,True
sosodeef,False,True,False
cwdeanbanjos,False,False,True
maazasher,False,True,False
slowcookerman1,False,False,False
kioontheroad,False,True,False
ye_vette_foodie_,False,False,True
lisseth_c23,False,True,False
elcraftz,False,True,False
halesinpdx,False,False,False
ly.rivera,False,True,False
youngjaiiiii,False,True,False
coffeeinsteadno_x,False,False,False
kaaa7720,False,False,False
sing_ing28,False,True,False
coreyhowewilson,False,False,False
bekir_halicii,False,True,False
rissaplz,False,False,False
dianelygilly,False,False,False
jfbenun,False,False,False
fauxinsiles,False,False,False
ps.kopi,False,False,True
register_nickname,False,False,False
demisiuse,False,True,False
wendy888nyc,False,True,False
hapapoo.339,False,True,False
pauldesilva,False,False,False
kmichod,False,True,False
rollypollies_donegal,False,False,True
fincasantaestela,False,False,True
grantguth,False,False,False
munsaya_nabila,False,True,False
toffak1,False,False,False
chalice.yoga,False,False,False
kinzokufechi,False,False,False
madstop_market,False,False,True
eliud_sal20,False,False,False
fang.am21,False,True,False
lacabra.nyc,False,False,False
rvphotos_,False,False,False
prismcoffee.ca,False,False,True
lathengorbett,False,False,False
thehumanbeanwarrenton,False,False,True
adelmiraroldan,False,False,False
chillynathan,False,False,False
escapecoffeeroaster,False,False,True
jaybui85,False,False,True
sabrinadiec,False,True,False
foodshelterclothing,False,False,False
menzingers2,False,True,False
tinypourhouse,False,False,False
dipsakaguchi,False,False,False
brit_shoppe,False,False,True
roostcoffeepullman,False,False,True
allaccountedforllc,False,False,True
bridget.donegan,False,True,False
robelam,False,True,False
mickie_drinks_pdx,False,False,False
nowead.nooy,False,False,False
dawsonmx99,False,True,False
srdimond,False,True,False
tallgrasscoffee,False,False,False
pastfuturesense,False,False,False
karenchotchin,False,True,False
alexmichaelmora,False,False,False
emai0044,False,False,False
naomicomerford,False,False,False
luftbasement_com,False,False,True
e_ratic_bandit_out_of_radio_b,False,True,False
jjn1919,False,True,False
resolution_construction,False,False,True
itchymutt,False,False,False
taylorwhite4123,False,False,False
mckaewelch,False,False,False
miky9177,False,False,False
will.hailer,False,True,False
pcrtridgcs,False,True,False
yf_young_meat,False,False,False
___yunseo.i,False,True,False
the_panthalassa,False,True,False
zeenscene_,False,False,False
halfdecentheart,False,False,False
keying____,False,False,False
airbnb.broadway,False,False,False
evanbrewscoffee,False,False,False
adventureandseek,False,False,False
fallowroasting,False,False,True
francisco.j.serracin,False,True,False
marialejandram.m,False,False,False
reallevicooper,True,False,False
marite.taysing,False,False,False
bryham_rivera,False,False,False
ariespinozx,False,True,False
syvaghel,False,False,False
storytime_with_jesse,False,False,False
nyaranporan,False,False,False
rywdsk,False,False,False
lagiesbrecht,False,False,False
jasdelfina,False,True,False
katelynebarry,False,True,False
8reasonscafe,False,False,True
impossibly_curved,False,False,False
blackbirdlimerick,False,False,True
katie_aka_kt,False,True,False
pearlsomeraa,False,True,False
chrisjsantamaria,False,True,False
nikodimous9,False,False,False
murmzzz,False,True,False
inspiresso_cafe_and_resto,False,False,False
zacharyhartke,False,False,False
boundlessroasters,False,False,True
clayawoolfolk,False,True,False
thebetalog,False,True,False
properbrewnj,False,False,False
steamlinecoffee,False,False,False
jamesf_0186,False,True,False
aromacoffeeethiopia,False,False,False
sloroasts,False,False,False
bd.elder,False,False,False
swangsways,False,False,False
onestripechaico,False,False,True
robinellingwood,False,False,False
michellegokel,False,False,False
frmentha,False,True,False
andynoha1,False,True,False
queerlysauce,False,False,False
willhopkinsmusic,False,False,True
coffeeandpastryloveraltogether,False,False,False
salim_armany_photographer_,False,False,True
faridazarang,False,False,False
jdma18,False,False,False
rhodonuo,False,True,False
tungdangho,False,False,False
packagingprintingfactory,False,False,True
kspanther,False,True,False
incognitoman4,False,False,False
joelknight_89,False,False,False
mamakimamu,False,False,False
candacemoser,False,True,False
ximing.yu,False,True,False
aye.yooadrian,False,False,True
natestvns,False,False,True
mainulislamzihan_,False,True,False
projetobrekkie,False,False,False
gwhite1972,False,True,False
luzestudiocreativo,False,False,True
laemluli,False,False,True
coffeepackages,False,False,True
jensbagelsandpastries,False,False,True
____m.i.r.a.__,False,True,False
shuswaptrekker,False,False,False
eligahsmith,False,False,False
nigawa13,False,False,False
alex.mi200,False,False,False
pacificnorthwest_nate,False,False,False
coffeeenterprises,False,False,True
kimj526,False,False,False
aaronparke,False,False,False
zcrom,False,False,False
zahid.0302,False,False,False
nls.life,False,True,False
julianxny,False,False,False
rob_mcmahon11,False,True,False
mthings124748,False,True,False
valeriacreativeagency,False,False,True
braddicchio,False,False,False
randyliedtke,False,False,True
lovemyswitches,False,False,True
burnhamscott1,False,False,False
weird_watercolours,False,False,True
gundikhan_estate,False,False,True
throw.an.egg.on.it,False,False,False
wanderingsoloandstuff,False,False,False
willie_gates0,False,False,False
kind_of_drew,False,False,False
christinetheclothette,False,False,True
lisaoriginal_____,False,False,False
coffee_vignettes,False,False,False
danielbristol,False,False,False
rac.perez,False,True,False
21clubcoffee,False,False,False
dietbashayer,False,False,True
bistro.royale,False,False,True
innovatecoffeeco,False,False,True
powercorruptionandcries,False,True,False
esme_s28,False,True,False
izzl.m,False,False,False
danaballout,False,True,False
joey_t_bayonet,False,True,False
stewart.reece,False,True,False
collectivebean.peru,False,False,True
jiabin3850,False,False,False
andiemae1,False,False,False
thecoffeeguy1,False,True,False
wowbo_amber,False,False,True
sinataheri,False,True,False
pacesucks,False,False,False
yaohanguillen,False,False,False
coastrange.coffee,False,False,False
lfjanke,False,False,False
umukocoffee,False,False,True
soulfocuscoffee,False,False,True
salnisalazmi,False,True,False
kahawa.cafe.zug,False,False,True
__manogram,False,False,False
mikhayelagr_,False,False,False
marshallhoop.re,False,False,False
suchgreg,False,False,False
thomasf_films,False,False,False
henrikqvale,False,False,False
why1yhw,False,False,False
khalidrz,False,True,False
laluzera,False,True,False
charliedrinkscoffee,False,False,False
dunningdoodles,False,False,False
hannabelleli,False,True,False
cafe_sorosoro,False,False,True
solsticegirl619,False,True,False
michelliepdx,False,True,False
robinraia,False,True,False
workplacechange,False,False,True
katherine_jean_gee,False,True,False
tomi_nou,False,True,False
roastmasters,False,False,True
jensen.sears,False,True,False
coppeweb,False,False,False
diegoacaballero,False,False,False
chadzueck,False,False,False
vp1213,False,False,False
coreynick,False,False,False
miskastudioceramics,False,False,False
ita.antinori83,False,True,False
minisotalia,False,True,False
snowandbikes,False,True,False
nicole.marie.green,False,False,False
work_brew_coffee,False,False,True
kyyf,False,False,False
sweetpotatoerae,False,True,False
blitzchamp,False,False,False
penstockcoffee,False,False,True
dylldozer,False,False,True
sawyereric,False,False,False
mezzatazza,False,False,True
phyllisjjohnson,False,False,False
annacasner,False,True,False
tina_5u3,False,False,True
pinoscoffee,False,False,True
ashleysnaps,False,False,False
jw04brine011dd9,False,False,False
kostassoul1,False,False,True
emirates.7,False,True,False
encafenegocios,False,False,False
brandikoertenmakeup,False,False,True
r_o0531,False,False,False
neighbour.wong,False,True,False
martincorona,False,False,False
grindpatrol,False,False,False
nicholascampbell1990,False,True,False
barrettweislow,False,False,False
taff_coffee_bonobono,False,False,False
chris_ruoqi,False,True,False
st_badboy_baker,False,True,False
jwin_dbarista,False,False,False
tim_coastal,False,False,False
al_farizya,False,True,False
therealmadisonyoung,False,False,True
beans.cloud,False,False,True
dailycoffeepb,False,False,False
_sunnychristine,False,True,False
ovaryvvatch,False,True,False
andrewthinksbig_,False,False,False
yoshi.kamon,False,True,False
sam.bar.thompson,False,False,False
jennifer.mcphail,False,False,False
badhombrescoffee,False,False,False
bethann608,False,True,False
newground.coffee,False,False,True
wastedxyears,False,False,False
s_nazaretyan,False,True,False
chunjia1980,False,False,False
rosebridgecoffee,False,False,True
nbrowningg_,False,True,False
ngopimalih,False,False,True
j_kent,False,False,False
buscamoscafes,False,False,False
megvand13,False,True,False
mjwill2066,False,True,False
smallbatchcoffeecompany,False,False,False
delete_v2,False,False,False
thesquarepdx,False,False,True
momokaaaa_,False,False,False
chris.merlo,False,False,False
incompetent_roasters,False,False,False
foggymorningroasters,False,False,False
steadfast_coffee,False,False,True
lindsay_lambchop_goodrich,False,False,False
_cassieherrera,False,False,False
ariana.macomber,False,False,False
its_biancacarol,False,False,False
annagaleb,False,True,False
istevens0n,False,False,False
houseofnoble.co,False,False,False
rdlrglr,False,True,False
12stories.coffee,False,False,True
frostrodomous,False,True,False
spintherecipe,False,False,False
joshuarueben,False,False,False
jacobalvick,False,False,False
rdyapp,False,False,True
the.coffee.smith,False,False,False
a.carino_,False,False,False
righteousduke,False,False,False
goreface_,False,False,False
temperobins,False,False,False
mtrosset,False,True,False
hardynkristina69,False,False,True
laceykhor,False,True,False
ccpzza,False,False,False
tsshupenia,False,False,False
brittnanaaa,False,True,False
daniellieber__,False,True,False
x_lined546,False,True,False
caseysblend,False,False,False
s.garrahan,False,False,False
coffeesustainabilityproject,False,False,False
road2hopepdx,False,False,True
elephantsmailz,False,False,False
jesse_cdn,False,True,False
thamerscup,False,False,False
cukyelnaga,False,True,False
spencerkalafut,False,False,False
epiphanycoldbrew,False,False,True
tenylegespressobar,False,False,True
tanvi_mirani,False,True,False
moonshinegoober,False,False,False
kate.pali,False,True,False
jennerstuardo,False,True,False
cafeselvmex,False,False,False
ellyajoy,False,True,False
cara.dello.russo,False,True,False
azazazaz101010110,False,False,False
dylan_marley,False,True,False
shihster82,False,False,False
baggermaniac,False,False,True
skkunugi,False,True,False
iannoelpdx,False,False,False
newton111,False,False,False
risaboyerarchitecture,False,False,True
alyssamargaret,False,False,False
stella_journal,False,True,False
alexandriaad,False,True,False
mrsthalhofer,False,False,False
twan559,False,True,False
erica_morgan_white,False,False,False
diagon_aliii,False,True,False
isthismydrink,False,False,False
gkgolding,False,False,False
pamanela149,False,True,False
postvinyl,False,True,False
ariandellabutt,False,True,False
noshwithtash,True,False,True
wandering_the_wilderness,False,False,False
adonytabora,False,True,False
royasaucedo,False,False,True
flatfifth503,False,True,False
johnsonutley,False,False,True
michaeldvirgo,False,False,False
johnlilley,False,False,False
whatchamacallehts,False,True,False
ghost_of_chris,False,False,False
josh_clancyl,False,True,False
kaylamariep,False,False,False
kaylalilli,False,False,False
linamillsofficial,False,False,False
marybessser,False,True,False
newsouthcoffee,False,False,True
alanmykitta,False,False,False
jdhunley,False,True,False
ing.wd,False,False,False
hej_earl,False,False,False
jaygallah,False,False,False
janneyb,False,False,False
quail_uhh,False,False,False
cris_tryingtolaylow,False,True,False
gaurangalat,False,False,False
routinecoffeeandsupply,False,False,True
igbokoyitech,False,False,False
jldemars,False,True,False
wehavechemistry,False,True,False
petercat21,False,True,False
estherknoxcreative,False,False,True
hitmandavetv,False,False,False
alishagaughan,False,False,False
baudiespdx,False,False,False
thepixelshawn,False,False,False
austinmorrisbridges,False,False,False
syd.tif,False,False,False
autumnkyliie,False,True,False
forksandjorts,False,False,False
jerrybenegasphotography,False,False,True
maddy.boylan,False,True,False
ielicrm,False,True,False
krosss24,False,False,False
finncoenders,False,True,False
haleskuhn,False,False,True
fuzzynautilus,False,False,False
r_maiti,False,True,False
a_batmama,False,True,False
nat3amn,False,False,False
silva_art622,False,False,False
mightyhouzz,False,False,False
graham_tuttle,False,False,False
_.mariana_g,False,True,False
revolve_design,False,False,True
joshtalamoa,False,False,False
coffee_from_europe_,False,False,True
aidashoots_,False,False,False
martin_ohara,False,True,False
itme_edub,False,True,False
ilyadyntu,False,False,False
flip__brown,False,False,False
ronnierebellion87,False,False,False
gavindarkliter,False,False,False
badgallydzy,False,False,False
caleb_newbury,False,False,False
m_gaughan_photos,False,False,True
kopisedanten.id,False,False,True
juliebarnes2000,False,True,False
annalise.va,False,True,False
thesetlistproject,False,False,True
deconstructed_architect,False,False,False
ranneylu,False,False,True
jnb1989,False,True,False
bethanyreneet,False,True,False
feag2647,False,False,False
oregonmermaid8172,False,True,False
heather.p.latimer,False,False,False
jo.s_dough,False,False,False
travel_momof2,False,False,False
lupe216,False,True,False
breebarbeau,False,False,False
lisasladeable,False,False,False
dorohop,False,True,False
sertaatlowes,False,False,True
kelseethaten,False,True,False
duendecoffeecart,False,False,True
kimberlygenuario,False,True,False
jaimetem,False,False,True
